ra,dec,mjd_u,u,g,r,i,z,objID
12.1915257788223,-0.762416432925156,54382.33973901,22.05804,20.60628,19.16582,18.43467,18.02467,8658200512681476161
12.1915263895098,-0.762411741980098,53640.30973553,23.08214,20.613,19.20004,18.53378,18.15666,8658194534113214524
12.1915267490826,-0.762396803957483,53352.1465768,22.68272,20.62723,19.1501,18.42324,18.04368,8658191982880751704
12.1915268113346,-0.762406905328505,53671.35071196,22.61063,20.58359,19.14442,18.4201,18.03684,8658195135395922048
12.1915271318949,-0.762398328848313,52558.3538824,24.42581,20.61362,19.16484,18.44358,18.01657,8658184836068999233
12.191527154975,-0.762377874949108,54402.35102435,21.01354,20.42635,19.12878,18.43037,17.99282,8658200783287550051
12.191527981212,-0.762411686085416,54040.27975931,26.245,20.44551,19.08629,18.39044,18.04693,8658198279323844693
12.1915279856559,-0.762389242478792,53676.33989798,23.25537,20.54499,19.14334,18.43757,18.02847,8658195225595478090
12.1915282396002,-0.762398503292177,54385.35771305,22.6126,20.53435,19.14178,18.4417,18.04058,8658200568541347925
12.1915285510088,-0.762412242881749,53669.26601371,23.9621,20.531,19.07504,18.45362,18.07527,8658195092456472720
12.1915290505807,-0.762411225107697,54413.2640354,22.55792,20.55008,19.1365,18.48493,18.0439,8658200972268863624
12.1915296907033,-0.76241245713475,53994.35381256,22.67673,20.46213,19.17647,18.42575,18.01353,8658197579219206227
12.1915297272097,-0.762404888644006,54394.34073291,23.47642,20.56821,19.14157,18.47157,18.03577,8658200710275334258
12.1915306006386,-0.762410606150007,53975.33081884,24.35572,20.55196,19.12484,18.41954,18.03842,8658197287184629838
12.1915308694583,-0.76242828674746,54068.25219262,24.22381,20.56526,19.1004,18.40555,18.05974,8658198708793901137
12.1915310936165,-0.762400370863953,53685.262186111,21.66592,20.4982,19.18424,18.4631,18.17644,8658195423170461777
12.1915314949625,-0.762399342104904,54411.2235058599,24.36868,20.55302,19.15184,18.44821,18.08212,8658200933607342158
12.191531650392,-0.762402868163381,52910.3250984,23.10765,20.53994,19.09443,18.41499,18.0054,8658188087345479827
12.1915316742369,-0.762416775060577,53705.2460237401,25.22087,20.51455,19.17127,18.46683,18.04536,8658195728113074242
12.1915322068746,-0.762399176536597,53638.34575567,22.16706,20.50308,19.12887,18.45049,18.13469,8658194495439241280
12.1915331326244,-0.762414380541521,52935.2523412,23.85935,20.5222,19.14515,18.46267,17.99277,8658188336472916091
12.1915331613627,-0.762410022188669,54037.2654119401,23.31645,20.5244,19.16464,18.43508,18.01772,8658198236374171713
12.1915335159354,-0.762399184402787,52552.3451742,23.8238,20.57756,19.17842,18.47771,18.10904,8658466190789312668
12.1915340292772,-0.762395951065917,53996.33761701,23.43398,20.38606,19.06478,18.44026,17.96006,8658197630777229368
12.1915343383901,-0.762457331760842,53998.30610324,21.78516,20.439,19.17409,18.48664,18.15834,8658197673735094407
12.1915345778371,-0.76242641044584,54062.271556,23.69435,20.56817,19.15251,18.43498,18.00484,8658198614331359354
12.1915347453079,-0.762420129142859,54030.28412726,22.94276,20.57122,19.14931,18.42637,17.99566,8658198111820316754
12.1915356691862,-0.762394606188384,52963.1755468,23.2022,20.6011,19.17501,18.44153,18.0398,8658188594152013909
12.1915368151185,-0.762408759000562,0,23.27369,20.53735,19.15017,18.44124,18.04317,8647474690876702731
12.1915369888307,-0.762401488026818,52931.2553934,22.31859,20.54637,19.13724,18.43017,18.02896,8658188289225064542
12.1915376699504,-0.762390631794183,53679.3117268901,23.17551,20.58916,19.15812,18.4208,18.09588,8658195281428676707
12.1915378524616,-0.762399739452946,53664.30692333,24.61677,20.78582,19.43008,18.73406,18.2859,8658194997966209152
12.1915383137632,-0.762394944373227,53697.26025205,23.66625,20.61354,19.23554,18.50318,18.07998,8658195603559022724
12.1915383168103,-0.76240145076281,52959.1957736,23.41968,20.54859,19.16192,18.42849,18.0009,8658188525432078424
12.1915388247837,-0.762421674931018,53674.25047027,23.2953,20.52824,19.15491,18.42626,17.97024,8658476657627103309
12.1915395242601,-0.762405185375195,51081.3175104,22.68612,20.5436,19.14836,18.47708,18.02077,8658170821574656123
12.1915403672994,-0.762435322658403,54056.27243522,22.08722,20.50817,19.12367,18.43923,18.00773,8658198494073127028
