ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i
12.2014289775553,-0.735577914168428,51081.3166816,26.40653,24.48531,23.13942,21.27442,20.3887,8658170821574656633,0.1425363
12.2013922396928,-0.811263610640982,51081.3166816,24.32769,25.31777,25.37116,23.81747,19.71243,8658170821574656692,0.9675484
12.2010643529229,-0.766993573644684,51081.3166816,24.08893,22.78683,21.70974,22.00001,21.83839,8658170821574656491,0.3099412
12.2466777477327,-0.745235061404795,51081.3166816,25.63297,22.70885,21.33755,20.38339,19.92871,8658170821574656337,0.05270774
12.246523579715,-0.767080206422533,51081.3166816,23.6874,21.79743,21.04731,21.54008,20.70494,8658170821574656335,0.1646097
12.247180430294,-0.778644826860485,51081.3166816,22.09732,23.68927,24.71385,24.36433,21.47421,8658170821574656173,0.9658073
12.2060321501313,-0.754156645247656,51081.3166816,22.03149,18.86683,17.46839,16.7131,16.24692,8658170821574656077,0.004530135
12.205788530482,-0.775695330585561,51081.3166816,22.79711,21.25396,20.07421,19.74988,19.47766,8658170821574656280,0.04843032
12.1914119688978,-0.778562828098727,51081.3166816,21.99113,25.77295,24.63032,25.8213,22.80826,8658170821574656152,0.4715892
12.1915395242601,-0.762405185375195,51081.3166816,22.68612,20.5436,19.14836,18.47708,18.02077,8658170821574656123,0.01171815
12.2177026965255,-0.722951005195481,51081.3166816,23.0816,21.22001,19.73529,19.07203,18.63245,8658170821574656125,0.01809726
12.2009443097894,-0.773279701388672,51081.3166816,26.51852,20.83443,19.43233,18.87206,18.52754,8658170821574656124,0.01554649
