ra,dec,mjd_g,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,modelMagErr_g,thingID
12.1877831309588,-0.794375693484376,51081.31916392,22.53557,24.20967,22.87481,21.446,20.60525,1237646010551632529,0.1543565,0.8080478,77759297
12.1933222247593,-0.778498789667447,51081.31916392,23.75291,23.54323,22.80219,21.74378,21.36237,1237646010551632035,0.1823368,0.446223,77759298
12.1981655254381,-0.737005620340652,51081.31916392,22.33723,19.78092,18.24352,16.97411,16.28308,1237646010551631930,0.004864147,0.01800462,77759305
12.1985411878038,-0.793572970577946,51081.31916392,22.80882,19.99903,18.73886,18.28633,18.02424,1237646010551631999,0.009836134,0.02097565,77759306
12.1951077256408,-0.764297903812185,51081.31916392,25.71284,21.84109,20.43816,19.68906,19.17175,1237646010551632137,0.04606465,0.1586916,77759309
12.1936358153308,-0.794974995836535,51081.31916392,24.64021,23.94878,23.41058,21.55898,20.82199,1237646010551632533,0.1439813,0.5731948,77759299
12.2478472401572,-0.797006320899955,51081.31916392,22.53488,20.65337,19.28321,18.72153,18.40555,1237646010551632003,0.01337959,0.03534035,77759315
12.2438400944445,-0.805245773225913,51081.31916392,25.64975,21.7668,19.89758,19.35596,18.98482,1237646010551632221,0.0264015,0.1114606,77759325
12.2449527224654,-0.736925266297647,51081.31916392,22.13008,21.18791,20.17251,19.78211,19.37281,1237646010551632224,0.03700345,0.06574924,77759326
12.1874563359288,-0.736107788068636,51081.31916392,22.05984,21.80298,20.20783,19.05399,18.62378,1237646010551632384,0.04205208,0.2483148,77759284
12.1895844743643,-0.752719020409623,51081.31916392,23.99373,22.40564,21.57484,21.44,21.19692,1237646010551632124,0.1610828,0.1929519,77759288
12.1935701483727,-0.770042645238032,51081.31916392,21.75927,21.19246,20.70415,19.94413,19.34305,1237646010551632134,0.06629809,0.1029111,77759292
12.1939046808558,-0.796753489565879,51081.31916392,22.20677,22.41925,21.89918,21.64285,20.75413,1237646010551632135,0.1669386,0.1713171,77759294
12.1872242642959,-0.744041565677992,51081.31916392,23.05282,22.63735,21.87219,21.69689,21.1785,1237646010551632380,0.2337717,0.2749578,77759281
12.1884660174459,-0.81669878540143,51081.31916392,27.13515,22.79053,21.09558,20.41998,20.23759,1237646010551632382,0.07005958,0.2963147,77759283
12.1860274584236,-0.815327103015438,51081.31916392,22.08813,21.80647,21.46759,21.7083,21.01135,1237646010551632122,0.1585072,0.09136243,77759280
12.1915373127231,-0.762408748220929,51081.31916392,22.64666,20.5367,19.16268,18.46735,18.03706,1237646010551631998,0.01109915,0.03169006,77759278
12.2394595838167,-0.814651898550455,51081.31916392,21.82915,23.3937,21.73911,24.3958,22.09102,1237646010551632432,1.781568,0.6956253,78257433
12.2238635505421,-0.776914410646666,51081.31916392,24.24462,22.49207,20.90546,20.12033,19.56217,1237646010551631941,0.03991986,0.1675074,77759922
12.2168984937443,-0.809104324527722,51081.31916392,20.6819,19.47729,19.61838,19.74762,19.8626,1237646010551631937,0.02887687,0.01449091,77759920
12.2262127827846,-0.816425242938492,51081.31916392,23.70545,20.72281,19.25765,18.35547,17.8669,1237646010551632002,0.01037086,0.03727734,77759925
12.2100303707,-0.781348809280749,51081.31916392,21.57062,20.99001,20.50301,20.2124,20.46678,1237646010551632041,0.05982336,0.06205373,77759927
12.2099610748331,-0.806440089294181,51081.31916392,23.12015,23.23012,22.25463,22.36462,22.45715,1237646010551632403,0.2999299,0.3311884,77759935
12.2103871809144,-0.818026219952594,51081.31916392,26.04496,22.40215,21.0027,19.97684,19.54729,1237646010551632164,0.04412368,0.1941543,77759936
12.2091125690304,-0.750561309081604,51081.31916392,23.2182,23.0693,21.1508,20.45849,19.88698,1237646010551632161,0.0823246,0.4244987,77759934
12.2321168404092,-0.730774926684345,51081.31916392,26.05509,23.38427,22.60563,21.85947,21.71562,1237646010551632549,0.186402,0.3637351,77759849
12.2386234226724,-0.731152546789978,51081.31916392,20.77462,19.50227,18.94801,18.76861,18.766,1237646010551631949,0.01378282,0.01475696,77759785
12.2422513910589,-0.727889681704996,51081.31916392,20.80247,19.60189,19.72698,19.83161,20.08312,1237646010551631950,0.03122426,0.01577725,77759786
12.1836297531709,-0.73266168519947,51081.31916392,23.74678,23.89836,22.02553,21.14076,20.66607,1237646010551632376,0.1185915,0.6621699,77759547
12.1672707621434,-0.73301256870125,51081.31916392,21.89947,22.10861,21.35923,21.02085,20.59512,1237646010551632084,0.1369046,0.1834976,77759542
12.188090721279,-0.728854474955018,51081.31916392,21.78314,20.99967,20.0549,19.6269,19.18955,1237646010551632123,0.04169597,0.07102644,77759557
12.2044618441682,-0.729014549248581,51081.31916392,25.67159,22.08624,21.88743,21.31551,21.62696,1237646010551632155,0.1237058,0.1268116,77759593
12.2085599360207,-0.76525822740656,51081.31916392,22.62529,23.82862,21.84946,21.2681,22.46892,1237646010551632400,0.13006,0.6124705,77759464
12.19497066048,-0.733229696294613,51081.31916392,23.62493,23.95806,22.79912,21.4597,21.48728,1237646010551632534,0.142966,0.6182573,77759502
12.2431886427404,-0.734141811136857,51081.31916392,26.64043,22.55192,21.72545,20.98718,20.32594,1237646010551632435,0.1188938,0.2442766,77759505
12.2062606042242,-0.733318388296768,51081.31916392,22.78259,22.47623,20.92681,19.67485,18.82374,1237646010551632158,0.0287282,0.1712679,77759520
12.1807105445266,-0.733680104611472,51081.31916392,25.02812,20.50917,19.03781,18.48899,18.20507,1237646010551632112,0.01606327,0.04674722,77759528
12.1769238148599,-0.733079178684888,51081.31916392,23.64929,21.765,20.2532,19.74102,19.31104,1237646010551632103,0.05692482,0.1760109,77759529
12.2297651342197,-0.732829615764927,51081.31916392,23.60771,23.90121,22.48667,22.81019,21.3944,1237646010551632417,0.4121738,0.5412136,77759538
12.2099800620484,-0.729843472556843,51081.31916392,22.01773,21.34555,20.54533,20.46855,19.90977,1237646010551632162,0.06864499,0.07639483,77759597
12.217702497258,-0.722954565662758,51081.31916392,23.02308,21.2294,19.72935,19.06234,18.64347,1237646010551632179,0.01703863,0.05554696,77759608
12.222583066172,-0.725580230201243,51081.31916392,23.35022,20.60415,18.96562,18.23479,17.79823,1237646010551632189,0.01812053,0.07266337,77759614
12.2247522682087,-0.727417930001958,51081.31916392,22.62214,21.96649,21.62485,21.50468,20.96296,1237646010551632196,0.1832401,0.1405029,77759618
12.2265673602035,-0.722018929761078,51081.31916392,24.10922,22.98544,22.97711,21.68058,21.05758,1237646010551632543,0.1920345,0.3116008,77759623
12.1907858112226,-0.726731917459337,51081.31916392,23.31009,25.66915,22.51731,21.35732,20.47735,1237646010551632531,0.1823651,1.241632,77759650
12.1766336321723,-0.729353569404414,51081.31916392,20.80381,19.8649,18.81964,18.3445,17.95038,1237646010551632033,0.01577965,0.03014739,77759656
12.1839685972986,-0.728215343384942,51081.31916392,22.14396,21.91995,20.83013,20.52381,20.24645,1237646010551632120,0.08029263,0.140723,77759667
12.1797166788328,-0.717197697777476,51081.31916392,25.8742,24.34954,22.00237,21.04002,21.13648,1237646010551632369,0.1151947,0.9269356,77759671
12.1743405241445,-0.727884770326957,51081.31916392,23.29133,23.34699,23.0603,21.84285,21.7445,1237646010551632516,0.178995,0.3463044,77759692
12.1811332607942,-0.779229525856865,51081.31916392,25.45731,22.93843,21.68538,21.44004,20.91657,1237646010551632372,0.1405059,0.27108,77759369
12.1816243114305,-0.754413997636666,51081.31916392,24.52585,25.26609,21.70065,21.81815,22.0304,1237646010551632116,0.2131438,1.076871,77759372
12.1683090850365,-0.806118552019445,51081.31916392,25.12393,23.51183,22.20426,21.82806,22.33428,1237646010551632356,0.2077091,0.457342,77759375
12.1774610396028,-0.817066078196946,51081.31916392,24.15837,23.86655,22.32505,22.16828,20.71665,1237646010551632366,0.2361631,0.5201578,77759379
12.1825985726181,-0.793341122257529,51081.31916392,23.53716,23.08049,22.04411,21.58242,20.92369,1237646010551632373,0.1626498,0.3169404,77759383
12.1835076894909,-0.739597231843233,51081.31916392,23.82602,21.82226,20.86485,20.52541,19.8079,1237646010551632119,0.09305107,0.1512299,77759385
12.1766921411956,-0.753234499944856,51081.31916392,24.16741,23.67535,22.67135,21.11149,20.52237,1237646010551632518,0.1123476,0.5369253,77759389
12.177947085849,-0.821890136178219,51081.31916392,22.12308,23.89326,22.08956,20.95089,20.63349,1237646010551632521,0.1628293,1.062747,77759391
