ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,thingID
12.1461855706023,-0.787897407962957,51081.3162630401,23.35577,21.0336,20.49512,20.05478,20.1428,1237646010551566744,0.05595101,77759105
12.1684828264704,-0.815646741392113,51081.31667745,22.98269,22.42601,21.32119,20.83718,21.15528,1237646010551632090,0.09319523,77759357
12.2328611986525,-0.792741827121649,51081.31667745,24.95448,21.38438,19.66435,19.09592,18.62216,1237646010551632214,0.02312078,77759408
12.2060300159084,-0.754160008841734,51081.31667745,22.08206,18.86287,17.46909,16.69727,16.26156,1237646010551631932,0.004381713,77759445
12.2214976913343,-0.799237455315201,51081.31667745,25.03933,23.11103,22.17353,20.68573,19.75912,1237646010551632413,0.06420236,77759944
12.1939046808558,-0.796753489565879,51081.31667745,22.20677,22.41925,21.89918,21.64285,20.75413,1237646010551632135,0.1669386,77759294
12.1895844743643,-0.752719020409623,51081.31667745,23.99373,22.40564,21.57484,21.44,21.19692,1237646010551632124,0.1610828,77759288
12.2003461101713,-0.800293578263495,51081.31667745,24.89201,22.57938,21.81443,21.47647,20.28147,1237646010551632392,0.1789627,77759453
12.2111680996272,-0.719475415150083,51081.31667745,22.47534,21.80247,22.10794,21.50454,21.31817,1237646010551632165,0.2269411,77759598
12.2171415009667,-0.726050116609777,51081.31667745,23.97864,22.62662,21.12231,20.36043,19.93516,1237646010551632180,0.05739984,77759606
12.2160736157362,-0.77039411701712,51081.31667745,24.05984,22.13397,21.05584,20.69031,20.07242,1237646010551632177,0.07752685,77759939
12.1748756333362,-0.760162423016584,51081.31667745,25.08457,21.91755,21.05346,20.8848,20.68484,1237646010551632096,0.1093228,77759361
12.2320654112745,-0.740913223808468,51081.31667745,24.0556,23.37931,21.92826,22.16407,22.00143,1237646010551632421,0.2431483,77759423
12.1872242642959,-0.744041565677992,51081.31667745,23.05282,22.63735,21.87219,21.69689,21.1785,1237646010551632380,0.2337717,77759281
12.1769238148599,-0.733079178684888,51081.31667745,23.64929,21.765,20.2532,19.74102,19.31104,1237646010551632103,0.05692482,77759529
12.2247522682087,-0.727417930001958,51081.31667745,22.62214,21.96649,21.62485,21.50468,20.96296,1237646010551632196,0.1832401,77759618
12.19497066048,-0.733229696294613,51081.31667745,23.62493,23.95806,22.79912,21.4597,21.48728,1237646010551632534,0.142966,77759502
12.2236112475279,-0.786718957228031,51081.31667745,23.66683,23.05306,21.80609,21.77395,22.12755,1237646010551632414,0.17869,77759945
12.1933222247593,-0.778498789667447,51081.31667745,23.75291,23.54323,22.80219,21.74378,21.36237,1237646010551632035,0.1823368,77759298
12.2431886427404,-0.734141811136857,51081.31667745,26.64043,22.55192,21.72545,20.98718,20.32594,1237646010551632435,0.1188938,77759505
12.2262127827846,-0.816425242938492,51081.31667745,23.70545,20.72281,19.25765,18.35547,17.8669,1237646010551632002,0.01037086,77759925
12.2091125690304,-0.750561309081604,51081.31667745,23.2182,23.0693,21.1508,20.45849,19.88698,1237646010551632161,0.0823246,77759934
